xcen,ycen,sxx,syy,sxy                                                     
5.0000E-001,9.8500E+001,-8.6663E+006,-2.5998E+007,1.3038E+003            
5.0000E-001,9.9500E+001,-8.6661E+006,-2.6000E+007,3.5893E+002           
1.5000E+000,5.0000E-001,-8.6674E+006,-2.6689E+007,-3.3064E+002            
1.5000E+000,1.5000E+000,-8.6673E+006,-2.6689E+007,-5.7692E+002            
1.5000E+000,2.5000E+000,-8.6671E+006,-2.6688E+007,-7.0155E+002            
1.5000E+000,3.5000E+000,-8.6670E+006,-2.6688E+007,-3.9707E+002            
1.5000E+000,4.5000E+000,-8.6667E+006,-2.6688E+007,-1.1707E+003            
1.5000E+000,5.5000E+000,-8.6670E+006,-2.6688E+007,-1.2056E+003            
1.5000E+000,6.5000E+000,-8.6671E+006,-2.6687E+007,-1.3894E+003            
1.5000E+000,7.5000E+000,-8.6669E+006,-2.6686E+007,-1.7596E+003            
1.5000E+000,8.5000E+000,-8.6665E+006,-2.6685E+007,-2.5552E+003            
1.5000E+000,9.5000E+000,-8.6662E+006,-2.6684E+007,-2.9626E+003           
1.5000E+000,1.0500E+001,-8.6666E+006,-2.6682E+007,-3.9229E+003           
1.5000E+000,1.1500E+001,-8.6672E+006,-2.6679E+007,-5.5173E+003           
1.5000E+000,1.2500E+001,-8.6665E+006,-2.6677E+007,-7.2581E+003           
1.5000E+000,1.3500E+001,-8.6655E+006,-2.6674E+007,-8.2945E+003           
1.5000E+000,1.4500E+001,-8.6652E+006,-2.6669E+007,-9.4663E+003           
1.5000E+000,1.5500E+001,-8.6658E+006,-2.6663E+007,-1.1139E+004           
1.5000E+000,1.6500E+001,-8.6663E+006,-2.6656E+007,-1.2916E+004           
1.5000E+000,1.7500E+001,-8.6665E+006,-2.6650E+007,-1.4382E+004           
1.5000E+000,1.8500E+001,-8.6664E+006,-2.6641E+007,-1.6538E+004           
1.5000E+000,1.9500E+001,-8.6672E+006,-2.6632E+007,-1.8927E+004           
1.5000E+000,2.0500E+001,-8.6662E+006,-2.6620E+007,-2.1314E+004           
1.5000E+000,2.1500E+001,-8.6664E+006,-2.6606E+007,-2.4766E+004           
1.5000E+000,2.2500E+001,-8.6666E+006,-2.6593E+007,-2.7704E+004           
1.5000E+000,2.3500E+001,-8.6659E+006,-2.6576E+007,-3.0091E+004           
1.5000E+000,2.4500E+001,-8.6661E+006,-2.6557E+007,-3.1906E+004           
1.5000E+000,2.5500E+001,-8.6662E+006,-2.6538E+007,-3.4359E+004           
1.5000E+000,2.6500E+001,-8.6663E+006,-2.6518E+007,-3.7318E+004           
1.5000E+000,2.7500E+001,-8.6659E+006,-2.6495E+007,-3.9434E+004           
1.5000E+000,2.8500E+001,-8.6675E+006,-2.6473E+007,-4.2055E+004           
1.5000E+000,2.9500E+001,-8.6677E+006,-2.6447E+007,-4.4843E+004           
1.5000E+000,3.0500E+001,-8.6673E+006,-2.6419E+007,-4.6476E+004           
1.5000E+000,3.1500E+001,-8.6672E+006,-2.6391E+007,-4.8591E+004           
1.5000E+000,3.2500E+001,-8.6670E+006,-2.6362E+007,-4.9618E+004           
1.5000E+000,3.3500E+001,-8.6669E+006,-2.6331E+007,-5.1482E+004           
1.5000E+000,3.4500E+001,-8.6668E+006,-2.6301E+007,-5.3337E+004           
